sembol,tarih,durum,bar,giris_fiyat,giris_tarih,fiyat,kz_yuzde
ATAGY,2026-09-15,AL,0,10.17,2026-09-15,10.17,0.0
AYCES,2026-09-15,AL,0,466.75,2026-09-15,466.75,0.0
BEYAZ,2026-09-15,AL,0,24.08,2026-09-15,24.08,0.0
BOSSA,2026-09-15,AL,0,6.68,2026-09-15,6.68,0.0
DZGYO,2026-09-15,AL,0,8.07,2026-09-15,8.07,0.0
KNFRT,2026-09-15,AL,0,12.51,2026-09-15,12.51,0.0
MAALT,2026-09-15,AL,0,1050.0,2026-09-15,1050.0,0.0
TKFEN,2026-09-15,AL,0,230.0,2026-09-15,230.0,0.0
ZOREN,2026-09-15,AL,0,2.52,2026-09-15,2.52,0.0
TRMET,2026-09-15,SAT,17,132.5,2026-08-20,132.1,-0.3
TTKOM,2026-09-15,SAT,4,55.4,2026-09-09,54.85,-0.99
IHEVA,2026-09-15,SAT,2,1.99,2026-09-11,1.97,-1.01
KLSYN,2026-09-15,SAT,11,15.9,2026-08-28,15.69,-1.32
ENKAI,2026-09-15,SAT,13,87.75,2026-08-26,85.8,-2.22
IHLGM,2026-09-15,SAT,11,1.63,2026-08-28,1.59,-2.45
LOGO,2026-09-15,SAT,4,138.1,2026-09-09,134.4,-2.68
SOKM,2026-09-15,SAT,4,60.4,2026-09-09,58.3,-3.48
MHRGY,2026-09-15,SAT,5,2.24,2026-09-08,2.16,-3.57
BASGZ,2026-09-15,SAT,3,45.4,2026-09-10,43.74,-3.66
GOZDE,2026-09-15,SAT,3,23.2,2026-09-10,22.24,-4.14
PAHOL,2026-09-15,SAT,3,1.35,2026-09-10,1.29,-4.44
GSDDE,2026-09-15,SAT,1,14.15,2026-09-14,13.48,-4.73
PETUN,2026-09-15,SAT,5,12.04,2026-09-08,11.46,-4.82
YIGIT,2026-09-15,SAT,2,22.26,2026-09-11,21.1,-5.21
EYGYO,2026-09-15,SAT,4,2.67,2026-09-09,2.52,-5.62
SISE,2026-09-15,SAT,2,44.98,2026-09-11,42.4,-5.74
ADGYO,2026-09-15,SAT,3,60.0,2026-09-10,56.55,-5.75
TRALT,2026-09-15,SAT,2,53.65,2026-09-11,50.45,-5.96
ALARK,2026-09-15,SAT,4,116.3,2026-09-09,109.0,-6.28
ALKA,2026-09-15,SAT,5,8.35,2026-09-08,7.8,-6.59
GLRMK,2026-09-15,SAT,2,177.0,2026-09-11,164.2,-7.23
BJKAS,2026-09-15,SAT,2,2.83,2026-09-11,2.62,-7.42
HEKTS,2026-09-15,SAT,3,2.89,2026-09-10,2.67,-7.61
RTALB,2026-09-15,SAT,1,3.03,2026-09-14,2.74,-9.57
ANGEN,2026-09-15,SAT,1,9.82,2026-09-14,8.84,-9.98
SARAE,2026-09-15,SAT,1,87.2,2026-09-14,78.5,-9.98
GENIL,2026-09-15,SAT,4,12.34,2026-09-09,11.1,-10.05
VAKBN,2026-09-15,SAT,2,38.08,2026-09-11,33.88,-11.03
EKGYO,2026-09-15,SAT,4,22.48,2026-09-09,19.8,-11.92
GRNYO,2026-09-15,SAT,2,13.62,2026-09-11,11.44,-16.01
MCARD,2026-09-15,SAT,4,183.2,2026-09-09,152.9,-16.54
MARTI,2026-09-15,TUT,12,1.46,2026-08-27,3.04,108.22
TRHOL,2026-09-15,TUT,19,2300.0,2026-08-18,4500.0,95.65
IEYHO,2026-09-15,TUT,60,130.9,2026-06-19,230.0,75.71
MRGYO,2026-09-15,TUT,15,1.37,2026-08-24,2.36,72.26
YKSLN,2026-09-15,TUT,5,3.17,2026-09-08,5.08,60.25
ISKUR,2026-08-12,TUT,7,2650000.0,2026-06-05,4125000.0,55.66
KARCL,2026-09-15,TUT,11,151.5,2026-08-31,233.0,53.8
ENERY,2026-09-15,TUT,14,9.21,2026-08-25,12.7,37.89
KZGYO,2026-09-15,TUT,9,20.42,2026-09-02,27.76,35.95
DSTKF,2026-09-15,TUT,10,2190.0,2026-09-01,2720.0,24.2
AHGAZ,2026-09-15,TUT,15,33.48,2026-08-24,41.1,22.76
ALKLC,2026-09-15,TUT,12,427.25,2026-08-28,520.0,21.71
CEOEM,2026-09-15,TUT,3,26.3,2026-09-10,31.8,20.91
TERA,2026-09-15,TUT,10,187.5,2026-08-31,224.0,19.47
PATEK,2026-09-15,TUT,5,21.4,2026-09-08,25.16,17.57
FLAP,2026-09-15,TUT,7,11.2,2026-09-03,12.92,15.36
DEVA,2026-09-15,TUT,19,84.5,2026-08-18,97.2,15.03
ISDMR,2026-09-15,TUT,18,53.35,2026-08-19,61.0,14.34
DUNYH,2026-09-15,TUT,22,90.25,2025-10-02,103.1,14.24
CELHA,2026-09-15,TUT,5,25.94,2026-09-08,29.5,13.72
TDGYO,2026-09-15,TUT,4,18.08,2026-09-09,20.48,13.27
EGEEN,2026-09-15,TUT,5,5537.5,2026-09-08,6260.0,13.05
MIATK,2026-09-15,TUT,6,30.7,2026-09-04,34.68,12.96
KRGYO,2026-09-15,TUT,4,3.32,2026-09-09,3.68,10.84
BMSTL,2026-09-15,TUT,1,45.34,2026-09-14,49.86,9.97
BIGEN,2026-09-15,TUT,1,149.9,2026-09-14,156.9,4.67
IHYAY,2026-09-15,TUT,2,1.24,2026-09-11,1.29,4.03
EUKYO,2026-09-15,TUT,3,13.75,2026-09-10,14.3,4.0
KUYAS,2026-09-15,TUT,9,67.1,2026-09-01,69.65,3.8
EPLAS,2026-09-15,TUT,2,6.16,2026-09-11,6.39,3.73
TOASO,2026-09-15,TUT,6,274.25,2026-09-04,284.25,3.65
TRCAS,2026-09-15,TUT,18,47.4,2026-08-19,49.08,3.54
MZHLD,2026-09-15,TUT,2,5.7,2026-09-11,5.9,3.51
AGHOL,2026-09-15,TUT,8,32.64,2026-09-02,33.72,3.31
KRTEK,2026-09-15,TUT,3,5.68,2026-09-10,5.85,2.99
BIMAS,2026-09-15,TUT,19,405.0,2026-08-18,415.75,2.65
ECOGR,2026-09-15,TUT,3,36.28,2026-09-10,36.94,1.82
SUWEN,2026-09-15,TUT,8,6.78,2026-09-02,6.87,1.33
