sembol,tarih,durum,bar,giris_fiyat,giris_tarih,fiyat,kz_yuzde,sat_nedeni
KOCMT,2026-09-15,AL,0,4.37,2026-09-15,4.37,0.0,
MAALT,2026-09-15,AL,0,1054.0,2026-09-15,1054.0,0.0,
SASA,2026-09-15,AL,0,2.94,2026-09-15,2.94,0.0,
TKFEN,2026-09-15,AL,0,233.6,2026-09-15,233.6,0.0,
ZOREN,2026-09-15,AL,0,2.65,2026-09-15,2.65,0.0,
ZRGYO,2026-09-15,AL,0,20.16,2026-09-15,20.16,0.0,
DUNYH,2026-09-15,SAT,22,90.25,2025-10-02,106.2,17.67,ATR
KLSYN,2026-09-15,SAT,27,13.91,2026-08-06,15.84,13.88,ATR
SANKO,2026-09-15,SAT,9,19.15,2026-09-01,19.95,4.18,ATR
AGHOL,2026-09-15,SAT,8,32.64,2026-09-02,34.0,4.17,ATR
HURGZ,2026-09-15,SAT,4,7.8,2026-09-09,8.03,2.95,ATR
MZHLD,2026-09-15,SAT,2,5.7,2026-09-11,5.85,2.63,ATR
EPLAS,2026-09-15,SAT,2,6.16,2026-09-11,6.32,2.6,ATR
IHYAY,2026-09-15,SAT,2,1.24,2026-09-11,1.25,0.81,N
TRCAS,2026-09-15,SAT,7,48.0,2026-09-03,48.12,0.25,ATR
AVPGY,2026-09-15,SAT,1,58.2,2026-09-14,57.9,-0.52,ATR
IHLAS,2026-09-15,SAT,2,1.16,2026-09-11,1.15,-0.86,ATR
ENKAI,2026-09-15,SAT,13,87.75,2026-08-26,86.65,-1.25,ATR
ATLAS,2026-09-15,SAT,1,6.82,2026-09-14,6.72,-1.47,ATR
KCHOL,2026-09-15,SAT,4,223.7,2026-09-09,220.4,-1.48,ATR
IHLGM,2026-09-15,SAT,2,1.65,2026-09-11,1.62,-1.82,N
LKMNH,2026-09-15,SAT,2,13.59,2026-09-11,13.32,-1.99,ATR
VKGYO,2026-09-15,SAT,4,1.93,2026-09-09,1.89,-2.07,ATR
NUHCM,2026-09-15,SAT,2,222.2,2026-09-11,216.5,-2.57,ATR
CANTE,2026-09-15,SAT,8,1.33,2026-09-02,1.29,-3.01,ATR
KRVGD,2026-09-15,SAT,2,2.32,2026-09-11,2.25,-3.02,ATR
CMBTN,2026-09-15,SAT,2,1620.0,2026-09-11,1567.0,-3.27,ATR
ASUZU,2026-09-15,SAT,5,48.8,2026-09-08,47.16,-3.36,N
BASGZ,2026-09-15,SAT,3,45.4,2026-09-10,43.82,-3.48,N
SISE,2026-09-15,SAT,2,44.98,2026-09-11,43.28,-3.78,ATR
BAGFS,2026-09-15,SAT,5,28.46,2026-09-08,27.38,-3.79,ATR
SAHOL,2026-09-15,SAT,4,96.05,2026-09-09,92.25,-3.96,ATR
FROTO,2026-09-15,SAT,5,82.8,2026-09-08,79.4,-4.11,ATR
HEKTS,2026-09-15,SAT,3,2.89,2026-09-10,2.76,-4.5,ATR
INDES,2026-09-15,SAT,4,11.92,2026-09-09,11.27,-5.45,ATR
DEVA,2026-09-15,SAT,1,104.2,2026-09-14,98.1,-5.85,ATR
AYDEM,2026-09-15,SAT,3,26.8,2026-09-10,25.22,-5.9,ATR
GLRMK,2026-09-15,SAT,2,177.0,2026-09-11,166.2,-6.1,ATR
BJKAS,2026-09-15,SAT,2,2.83,2026-09-11,2.62,-7.42,ATR
VAKBN,2026-09-15,SAT,2,38.08,2026-09-11,34.76,-8.72,ATR
SOHOE,2026-09-15,SAT,1,11.71,2026-09-14,10.6,-9.48,N
BAHKM,2026-09-15,SAT,1,189.0,2026-09-14,170.1,-10.0,ATR
GRNYO,2026-09-15,SAT,2,13.62,2026-09-11,12.0,-11.89,ATR
TRHOL,2026-09-15,TUT,19,2300.0,2026-08-18,4290.0,86.52,
ISKUR,2026-08-12,TUT,7,2650000.0,2026-06-05,4125000.0,55.66,
IEYHO,2026-09-15,TUT,44,159.5,2026-07-13,231.7,45.27,
